aut_lastn, aut_firstn	aut_lastn, aut_firstn	aut_lastn, aut_firstn	contribution_title	journal	year	issue	page_range
Таурин, Ф.			Гремящий порог. Роман	Знамя	1961	3	8-71
Семенов, Георгий.			На Волге. Рассказы: Тростниковые заводи. — Непутевый. — Белаялодка. — Дорога на Мшары	Знамя	1961	3	82-116
Лумумба, Патрис.			Восторжествует наш народ! Стихи. Пер: М. Вершинин,	Знамя	1961	4	3-4
Марш, Уиллард.			Бери и помни! [Рассказ америк. писателя]. Пер. с англ: В. Ефанова	Знамя	1961	4	103-114
			Трудовая весна. [О развертывании соц. соревнования в честь предстоящего XXII съездаКПСС. Ред. статья]	Знамя	1961	4	115-118. 12
Урин, Виктор.			Там, на Востоке... [Очерки о людях Сибири]	Знамя	1961	4	119-139
Казаков, Юрий.			Северный дневник. [Из рассказов о людях семилетки]. Илл: М. Скобелеви А. Елисеев	Знамя	1961	4	140-164
Комзин, И.			Асуанский гидроузел. [Об участии советских специалистов в строительствевысотной плотины в ОАР]. (Записки советского инженера)	Знамя	1961	4	165-176
Леонов, Леонид.			Леонид Леонов о писательском труде. [Из бесед с писателем. Записала Е.Старикова]	Знамя	1961	4	177-189
			Взять курс на маяки! [Образ положительного героя современности в советской литературе.Ред. статья]	Знамя	1961	4	190-194
Михайлов, О.			Люди труда и мысли. (Заметки о некоторых явлениях молодой прозы)	Знамя	1961	4	195-208
Таурин, Ф.			Гремящий порог. Роман	Знамя	1961	4	5-57
Алигер, Маргарита.			Из новой книги. Стихи: Источник света. — Лирика разных лет. —Дождь в Грузии. — Воспоминание о Болгарии	Знамя	1961	4	58-64
Воронов, Николай.			Человек-эхо. Рассказ,	Знамя	1961	4	65-74
Межелайтис, Эдуардас.			Стихи. Из книги «Человек»: Море. — Нет, не ты победишь,разрушитель! — Развяжите глаза. — Трубы. [Пер. с литов: Б. Слуцкий; Л. Мартынов; В.Корнилов]	Знамя	1961	4	75-78
Данилов, В.			Адыгейские новеллы: Айса. — Зеленый сундук. — Никудышный кладовщик.— Месть Юсуфа Майкопарова. — Вкусные груши	Знамя	1961	4	79-92
Семенов, Юлиан.			Рассказы: Кони и люди. — Хозяин	Знамя	1961	4	93-98
Ашкенази, Людвик.			Детские этюды. [Рассказы]: Официальный документ. — Разговор осмерти. — Жалобная книга или печенка. Пер. с чешского: Г. Гуляницкая	Знамя	1961	4	99-102
Маршак, С.			12 IV — 1961 г. [Стихи]	Знамя	1961	5	6
Куренев, Григорий.			Куба — да! [Стихи]	Знамя	1961	5	35
Дробышев, Владимир.			Наши дни. [Стихи]	Знамя	1961	5	114
Мартынов, Леонид.			Вознесся в космос человек. [Стихи]: «Все: как он набирался сил...» —Гроздья созвездий. — Корабль. — Настоящее	Знамя	1961	5	7-10
			Советский человек в космосе! [К успешному осуществлению в СССР первого в миреполета человека в космич. пространство. Статьи]: В. Кетлинская. Счастливый день. — К.Яшен. Путеводная звезда. — С. С. Смирнов. День великого подвига. — А. Борщаговский.Подвиг века. — А. Казанцев. В восемьдесят минут вокруг света	Знамя	1961	5	11-34
Евдокимов, Николай.			Степка, мой сын. Рассказ	Знамя	1961	5	115-118
Чивер, Джон.			Новое радио. [Рассказ.] Пер. с англ: Т. Литвинова	Знамя	1961	5	119-126
Разумов, Е.			Идущие впереди. [О соц. соревновании бригад и ударников коммунистич.труда Кемеров. обл. в честь XXII съезда КПСС]	Знамя	1961	5	127-136
Соболев, Леонид.			В Боливии. [Путевые впечатления]	Знамя	1961	5	137-187
Комзин, И.			Асуанский гидроузел. [Об участии советских специалистов в строительствевысотной плотины в ОАР]. (Записки советского инженера)	Знамя	1961	5	188-200
Маршак, С.			Ради жизни на земле. [О творчестве А. Твардовского]	Знамя	1961	5	201-213
Ермилова, Л.			Белинский и Лермонтов	Знамя	1961	5	216-224
Нагибин, Юрий.			Дебрецен — Будапешт. Маленькие рассказы: Мы говорим по-венгерски.— Слева труба, справа труба... — Чудо под землей. — Свадьба. — Сталактитовые пещеры.— Эржбет. — Я еду в цирк. — Прощание с Будапештом	Знамя	1961	5	36-55
Львов, Михаил.			Новые стихи: Салют наций. — Молодой человек. — Я не сплю. — «Вновьвсе молодо, смело...»	Знамя	1961	5	56-59
Таурин, Ф.			Гремящий порог. Роман	Знамя	1961	5	60-113
Куренев, Григорий.			На берегу Полоты. (Поэма встречи)	Знамя	1961	6	3-17
Гордимер, Н.			Шесть футов родной земли. [Рассказ писательницы из Юж.-Африк. Союза].Пер. с англ: В. Жак	Знамя	1961	6	116-123
Китапбаев, Б.			Отвечаем делом! [О колхозе им. Ленина. Вост.-Казахст. обл.] (Два письма изКазахстана)	Знамя	1961	6	124-129
Соколова, Наталья.			Доброе имя. [Из рассказов о людях семилетки]	Знамя	1961	6	130-134
Смирнов, С. С.			Поездка на Кубу. [Путевые очерки]	Знамя	1961	6	135-178
Гус, М.			Урок и предупреждение. [К выходу в свет 7-томного сборника материалов«Нюрнбергский процесс над главными немецкими военными преступниками»]	Знамя	1961	6	179-183
Бакланов, Григорий.			«Мертвые сраму не имут». Повесть	Знамя	1961	6	18-59
Маршак, С.			Ради жизни на земле. [О творчестве А. Твардовского]	Знамя	1961	6	184-200
Панков, Виктор.			Активный человек. [Образ современника в произведенияхсоветских писателей последних лет]	Знамя	1961	6	201-215
Книпович, Е.			Люди над пропастью. [О романе америк. писателя Дж. Д. Сэлинджера «Надпропастью во ржи»]	Знамя	1961	6	215-224
Щипачев, Степан.			На Ленинских горах. Рассказ	Знамя	1961	6	60-62
Евтушенко, Евгений.			Новые стихи: Атлантик-бар. — Фоли-Бержер. — Каучуковыедеревья в Либерии. — Изваяния в джунглях. — Комиссары. — Град в Харькове. — «Налыжах празднично я бегаю...» — Женщинам	Знамя	1961	6	63-71
Ибрагимов, Мирза.			Сердце Мединэ. Рассказ. Пер. с азербайдж: Б. Турганов	Знамя	1961	6	72-88
Тихонов, Николай.			Страницы воспоминаний: О создателе «Железного потока». — ОВсеволоде Вишневском. — Палатка над Выборгом. [О В. Саянове]. — Небывалый  ковер.[О П. Павленко]	Знамя	1961	6	89-115
Бедный Борис.			Девчата. Повесть	Знамя	1961	7	753
Сурков, Алексей.			Пути-дороги. Стихи: На Делийском базаре. — О дружбе. — Домой!	Знамя	1961	7	3-6
Кальвино, Итало.			Судок. [Новелла]. Пер. с итал: Л. Вершинин	Знамя	1961	7	113-115
Кокин, Л.			Смысл жизни. [О строгальщике Минского завода автоматич. линий Л. И.Потаповиче. Очерк]	Знамя	1961	7	116-131
Смирнов, С. С.			Поездка на Кубу. [Путевые очерки]	Знамя	1961	7	132-177
			Партия и литература. [К опубликованию статьи Н. С. Хрущева «К новым успехамлитературы и искусства». Ред. статья]	Знамя	1961	7	178-184
Светов, Ф.			Подробности жизни. (Критич. размышления)	Знамя	1961	7	185-203
Дымшиц, А.			Бессмертие. (К 70-летию И. Р. Бехера)	Знамя	1961	7	204-211
Дмитриев, С.			Путешествие в жизнь [Творческий путь писательницы Н. А. Емельяновой]	Знамя	1961	7	217-220
Синельников, М.			Надежное слово. [О творчестве поэтессы Л. Татьяничевой]	Знамя	1961	7	221-224
Тихонов, Николай.			Страницы воспоминаний: Туркмения, 1930 год. [О В. Луговском]	Знамя	1961	7	54-74
Щипачев, Степан.			В мастерской художника. Этюд	Знамя	1961	7	75-78
Винокуров Е.			Из книги «Слово». Стихи: «Стихам своим служу...» — Крестились готы... —Овощехранилище. — Жилец напротив. — Учитель истории. — Все вынесу и всепереживу... — Возраст	Знамя	1961	7	79-84
Велембовская, И.			Рассказы: Лесная история. — Среди полей	Знамя	1961	7	85-112
Куняев, Станислав.			Казахстанская тетрадь. Стихи: О скорости. — Земля. — Погода. —Баллада о тракторе. — Верблюд. — Новоселы. — «Вспоминаю другие вокзалы...» —Фламинго	Знамя	1961	8	3-8
Кетлинская, Вера.			Страницы дневника. [Об успехах и задачах коммунистич.строительства]. Навстречу XXII съезду КПСС	Знамя	1961	8	104-115
