basic_molodaia_gvardiia	aut_lastn, aut_firstn	aut_lastn, aut_firstn	contribution_title	journal	year	issue	page_range
Техада Гомес, Армандо.			Девушка. [Стихи аргентин. поэта]. Пер. с испан: М. Самаев	Новый мир	1961	1.00	16-17
Данин, Д.			Материал и стиль. [Заметки о советской архитектуре]	Новый мир	1961	1.00	166-185
Абад, Америко.			Мой квартал. [Стихи уругв. поэта]. Пер. с испан: М. Самаев	Новый мир	1961	1.00	17-18
Майский, И. М.			Бернард Шоу. (Встречи и разговоры)	Новый мир	1961	1.00	208-223
Войнович, Владимир.			Мы здесь живем. Повесть	Новый мир	1961	1.00	21-71
Меньшутин, А.	Синявский, А		За поэтическую активность. (Заметки о поэзии молодых)	Новый мир	1961	1.00	224-241
			«Пау Ти-сан и его товарищи». [Об участии китайцев в гражд. войне в России. По поводуодноим. очерка Г. Новогрудского и А. Дунаевского в журн. «Новый мир» 1959 4 и 5.Отклики]: Ци Цзя-цзюнь. Во имя великой дружбы. — А. Федин. Тема ждет своегопродолжения. — Читатели дополняют очерк	Новый мир	1961	1.00	277-282
Алигер, Маргарита.			Из лирики: «Стихотворенье — голубая жилка...» — «Бывают дни —ни голоса, ни смеха...» — «Я все плачу, я все плачу...» — «Вошла в мою душу откуда-то стыла...» — Огонек. — Осенний день. — Золушка	Новый мир	1961	1.00	72-76
Мельников, Н.			Штаб ударной комсомольской. [Очерк]	Новый мир	1961	1.00	77-88
Кешоков, Алим.			Ради жизни. — Настоящий мужчина. [Стихи. Пер. с кабард: С.Липкин; Я. Козловский]	Новый мир	1961	1.00	89-90
Эренбург, И.			Люди, годы, жизнь. [Воспоминания]. Кн. 2	Новый мир	1961	1.00	91-152
Лиснянская, Инна.			Тут и солнце... Стихи	Новый мир	1961	2.00	122
Смеляков, Я.			Из новых стихотворений: Вы не исчезли. — Ромашка. — Кубинскоестихотворение. — Саперы	Новый мир	1961	2.00	3-6
Шоу, Ирвин.			Ставка на мертвого жокея. [Рассказ америк. писателя]. Пер. с англ: Д.Соловьев	Новый мир	1961	2.00	124-146
Леонтьев, Николай.			Родники живой воды. [О людях села Ненокса Арханг. обл. Очерк]	Новый мир	1961	2.00	147-167
Галактионов, Василий.			Плотина Асуана. [О строительстве высотной плотины в Объедин.Араб. Республике. Заметки советского специалиста]	Новый мир	1961	2.00	168-193
Таланов, А.			Три города. [Суздаль, Остров, Вильянди. Заметки о хоз. и культ. развитиидревних городов]	Новый мир	1961	2.00	194-201
Бернштейн, И.			Живое чувство современности. [Обзор чехословац. лит.-худож. журн.«Пламен» 1960 № 10 и 11]	Новый мир	1961	2.00	202-204
Рубин, Вл.			«Младшие партнеры» на Парнасе. [Обзор материалов лит. приложения к газ.«Тайме» от 9 сент. 1960 г., посвящ. проблемам англ. литературы]	Новый мир	1961	2.00	204-207
Селезнев, К.			Штрихи из жизни К. Маркса и его семьи. [По материалам воспоминаний Б.Белуги и М. Комин]	Новый мир	1961	2.00	208-215
Алексеев, К.			В семье единой. К 70-летию со дня рождения. П. Г. Тычины	Новый мир	1961	2.00	216-221
Смирнова, Вера.			Как была написана «Военная тайна». [К творческой истории повести А.Гайдара]	Новый мир	1961	2.00	227-241
