aut_lastn, aut_firstn	aut_lastn, aut_firstn	aut_lastn, aut_firstn	contribution_title	journal	year	issue	page_range
Сытин, Виктор.			У самого Лигурийского моря. [Путевые заметки об Италии]	Наш современник	1964	12	70—91
Быкова, Елена.			Два рассказа: Первый снег. — Шестая симфония. Илл.: В. Карабут	Наш современник	1964	12	71—75
Полторацкий, Виктор.			Он в буйном мире жил. [Из воспоминаний о Вс. Иванове]	Наш современник	1964	12	95—97
Данелян, Раф.			Поединок со временем. [Об автомоб. спорте]	Наш современник	1964	12	98—100
Жупанов, Иван.			Снег. — Если бы... [Стихи]. Илл.: К. Багрова	Наш современник	1965	1	18
Тетцоев, Таймураз.			Четыре воробышка. Стихи. Пер. с осет.: Д. Смирнов	Наш современник	1965	1	19
Кирсанов, Семен.			Розы. Стихи	Наш современник	1965	1	49
Чихачев, Петр.			Труженик. — Наш Силыч. [Из воспоминаний об А. Веселом и А. С. Новикове-Прибое]	Наш современник	1965	1	102—105
Чесноков, Б.			Великие в спорте. [Спорт в жизни писателей и ученых]	Наш современник	1965	1	106—109
Бровман, Г.			Образ современника [в советской литературе]	Наш современник	1965	1	110—114
Ткаченко, Анатолий.			О Ненси! Рассказ. Илл.: А. Хайлов	Наш современник	1965	1	21—24
Львов, Аркадий.			Капитан, рубашку! Рассказ. Илл.: В. Карабут	Наш современник	1965	1	25—31
Милькин, И.			Каракумские рассказы: Человек оставляет след. — «Четыре тридцать». — Увидеть утро. — Приговор полевого суда. — Розовая вода. — Тезе-кяриз. Илл.: А. Щербаков	Наш современник	1965	1	3—17
Ноздрев, Василий.			Лирические стихи ученого-физика Жаворонок. — Буря в степи. — Месяц. — Майским утром. — В родном краю. [С предисл. В. Полторацкого]. Илл.: К. Багрова	Наш современник	1965	1	32—33
Левидова, Валентина.			Разговор с любимым. Рассказ. Илл.: В. Медведев	Наш современник	1965	1	35—43
Никитин, Сергей.			Грачи. Рассказ. Илл.: Ю. Вечерский	Наш современник	1965	1	45—48
Грин, Грэм.			Ведомство страха. (Развлекательное чтение). Пер. с англ.: Е. Голышева. Илл.: Е. Шукаев	Наш современник	1965	1	51—85
Мозенсон, Я.			Случай в клинике. — Голуби. — Хищница. — Однажды на Волге. Записки следователя	Наш современник	1965	1	86—98
Леонидов, Л.			«Вирус здоровья». [Об успехах здравоохранения в Абхаз. АССР]. Из блокнота журналиста	Наш современник	1965	1	99—101
Рождественский, Вс.			«Надо так, чтобы сразу запела строка...» — Ледоход. [Стихи]. Илл.:К. Багрова	Наш современник	1965	2	2
Ерикеев, Ахмед.			Четверостишия. Пер. с татар.: Я. Козловский	Наш современник	1965	2	3
Сериков, Станислав.			Атланты. Стихи. Илл.: К. Багрова	Наш современник	1965	2	15
Дайгородов, Г.			На полпути в космос. [Об альпинизме]	Наш современник	1965	2	100—102
Дмитриев, С.			Кое-что о рассказе. [Заметки лит. критика]	Наш современник	1965	2	103—107
Лада, И.	Писаржевский, О		Транспорт предвидимого будущего	Наш современник	1965	2	113—116
Нагибин, Юрий.			Два рассказа: Шестнадцать процентов. — Олежка женился. [Илл.: В.Карабут]	Наш современник	1965	2	17—40.
Миксон, Илья.			Разлука. Рассказ. Илл.: А. Щербаков	Наш современник	1965	2	4—14
Грин, Грэм.			Ведомство страха. [Развлекательное чтение). Пер. с англ.: Е. Голышева. Илл.:Е. Шукаев	Наш современник	1965	2	43—79
Равич, Николай.			Из голландской тетради. [Путевые заметки]	Наш современник	1965	2	80—86
Кобзев, Игорь.			Сквозь дождь. — Машинист. [Стихи]. Илл.: К. Багрова	Наш современник	1965	3	62
Васильев, Вик.			Борьба и ее подтекст. [Заметки о спорте]	Наш современник	1965	3	108—111
Клитко, А.			О прозе, по преимуществу лирической	Наш современник	1965	3	112—114
Захаров, В.			Архитекторы ведут поиск	Наш современник	1965	3	115—116
Евдокимов, Николай.			«Ни кола, ни двора». Повесть. Илл.: А. Щербаков	Наш современник	1965	3	2—53
